"group_code","group_name","iso3","country","country_type","aq_type","sector","sector_long","year","prod_mt"
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2018,7.5
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2019,7.65057455981777
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2020,7.80417214604412
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2021,7.96085345079514
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2022,8.12068038467878
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2023,8.28371610125795
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2024,8.45002502200493
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2025,8.6196728617566
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2026,8.79272665468089
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2027,8.96925478076443
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2028,9.14932699283204
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2029,9.33301444410864
"EUE","Other Europe","830","Channel Islands","coastal","inland","crustaceans","inland-crustaceans",2030,9.52038971633458
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2018,8
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2019,8.14308547520946
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2020,8.28873013207091
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2021,8.4369797432997
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2022,8.58788090028753
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2023,8.74148102774501
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2024,8.89782839860618
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2025,9.05697214919953
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2026,9.21896229469041
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2027,9.38384974479965
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2028,9.55168631980325
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2029,9.72252476681834
"EUE","Other Europe","830","Channel Islands","coastal","inland","finfish","inland-finfish",2030,9.89641877638033
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2018,6.3
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2019,6.37510309388351
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2020,6.45110150121319
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2021,6.52800589513346
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2022,6.60582707602462
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2023,6.68457597301968
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2024,6.76426364553923
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2025,6.84490128484459
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2026,6.92650021560952
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2027,7.00907189751064
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2028,7.09262792683684
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2029,7.17718003811779
"EUE","Other Europe","830","Channel Islands","coastal","marine","bivalves","marine-bivalves",2030,7.26274010577202
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2018,11
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2019,11.2767013960887
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2020,11.5603631251407
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2021,11.8511602720515
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2022,12.1492723259194
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2023,12.4548832908324
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2024,12.768181799441
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2025,13.0893612293882
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2026,13.4186198226682
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2027,13.7561608079878
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2028,14.1021925262051
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2029,14.4569285589244
"EUE","Other Europe","830","Channel Islands","coastal","marine","crustaceans","marine-crustaceans",2030,14.8205878603251
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2018,6.51
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2019,6.57532025231461
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2020,6.64129591712729
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2021,6.70793357073754
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2022,6.77523985543036
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2023,6.8432214801383
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2024,6.91188522111025
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2025,6.98123792258683
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2026,7.05128649748264
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2027,7.12203792807529
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2028,7.19349926670142
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2029,7.26567763645962
"EUE","Other Europe","830","Channel Islands","coastal","marine","finfish","marine-finfish",2030,7.33858023192048
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2018,7.5
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2019,7.65057455981777
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2020,7.80417214604412
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2021,7.96085345079514
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2022,8.12068038467878
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2023,8.28371610125795
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2024,8.45002502200493
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2025,8.6196728617566
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2026,8.79272665468089
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2027,8.96925478076443
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2028,9.14932699283204
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2029,9.33301444410864
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","crustaceans","inland-crustaceans",2030,9.52038971633458
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2018,8
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2019,8.14308547520946
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2020,8.28873013207091
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2021,8.4369797432997
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2022,8.58788090028753
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2023,8.74148102774501
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2024,8.89782839860618
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2025,9.05697214919953
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2026,9.21896229469041
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2027,9.38384974479965
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2028,9.55168631980325
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2029,9.72252476681834
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","inland","finfish","inland-finfish",2030,9.89641877638033
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","marine","bivalves","marine-bivalves",2018,6.3
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","marine","bivalves","marine-bivalves",2019,6.37510309388351
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","marine","bivalves","marine-bivalves",2020,6.45110150121319
"SAC","Other South America and Caribbean","ABW","Aruba","coastal","marine","bivalves","marine-bivalves",2021,6.52800589513346
