"group_code","group_name","year","catch_mt","rfactor"
"AFL","LDC Subsaharan Africa",2013,1472437.01676701,1
"AFL","LDC Subsaharan Africa",2014,1521012.41799221,1.03298979900129
"AFL","LDC Subsaharan Africa",2015,1620370.37937503,1.1004683805986
"AFL","LDC Subsaharan Africa",2016,1725186.63649822,1.17165394298913
"AFL","LDC Subsaharan Africa",2017,1810383.1115752,1.22951480502046
"AFL","LDC Subsaharan Africa",2018,1864130.91711327,1.26601742273927
"AFL","LDC Subsaharan Africa",2019,1891202.81006794,1.28440319588026
"AFL","LDC Subsaharan Africa",2020,1901839.45058038,1.29162702983126
"AFL","LDC Subsaharan Africa",2021,1903783.71791147,1.29294747159478
"AFL","LDC Subsaharan Africa",2022,1904287.70431394,1.29328975204327
"AFL","LDC Subsaharan Africa",2023,1908937.05595024,1.29644734152476
"AFL","LDC Subsaharan Africa",2024,1904881.79747718,1.29369322815564
"AFL","LDC Subsaharan Africa",2025,1896347.13922454,1.28789694746217
"AFL","LDC Subsaharan Africa",2026,1892022.61876901,1.28495996584171
"AFL","LDC Subsaharan Africa",2027,1884917.08603067,1.28013427030606
"AFL","LDC Subsaharan Africa",2028,1880911.82300686,1.27741411115616
"AFL","LDC Subsaharan Africa",2029,1875016.8764991,1.27341058065494
"AFL","LDC Subsaharan Africa",2030,1871812.36697268,1.27123425019738
"AFN","Other North Africa",2013,1811558.78118849,1
"AFN","Other North Africa",2014,1739996.52888084,0.960496864329897
"AFN","Other North Africa",2015,1804696.60934673,0.996212007077537
"AFN","Other North Africa",2016,1847881.21207882,1.02005037389209
"AFN","Other North Africa",2017,1878498.27136848,1.03695132108055
"AFN","Other North Africa",2018,1901739.20029938,1.04978056469784
"AFN","Other North Africa",2019,1925273.74572481,1.06277188778921
"AFN","Other North Africa",2020,1968765.41987116,1.08677976133876
"AFN","Other North Africa",2021,2122109.99401992,1.17142762137019
"AFN","Other North Africa",2022,2603887.00258658,1.43737373008579
"AFN","Other North Africa",2023,3277875.72967404,1.8094227820328
"AFN","Other North Africa",2024,3217074.10867064,1.77585963098589
"AFN","Other North Africa",2025,3262131.79000026,1.80073195740306
"AFN","Other North Africa",2026,3244564.2878417,1.79103450659938
"AFN","Other North Africa",2027,3261534.42253415,1.80040220411417
