"group_code","group_name","iso3","country","year","catch_mt","rfactor"
"AFL","LDC Subsaharan Africa","AGO","Angola",2013,211420.161217822,1
"AFL","LDC Subsaharan Africa","AGO","Angola",2014,297734.374332021,1.40825913960624
"AFL","LDC Subsaharan Africa","AGO","Angola",2015,407066.725371152,1.92539218126771
"AFL","LDC Subsaharan Africa","AGO","Angola",2016,518418.248858115,2.45207574278595
"AFL","LDC Subsaharan Africa","AGO","Angola",2017,609641.963729462,2.8835564225181
"AFL","LDC Subsaharan Africa","AGO","Angola",2018,671616.1360601,3.17668916810705
"AFL","LDC Subsaharan Africa","AGO","Angola",2019,708287.54654219,3.35014192810333
"AFL","LDC Subsaharan Africa","AGO","Angola",2020,728964.52233761,3.44794232555037
"AFL","LDC Subsaharan Africa","AGO","Angola",2021,739776.574900809,3.49908244625087
"AFL","LDC Subsaharan Africa","AGO","Angola",2022,745376.194971937,3.52556818932699
"AFL","LDC Subsaharan Africa","AGO","Angola",2023,748529.717898568,3.54048409379167
"AFL","LDC Subsaharan Africa","AGO","Angola",2024,750357.296459479,3.54912839029766
"AFL","LDC Subsaharan Africa","AGO","Angola",2025,751516.021086427,3.55460906262462
"AFL","LDC Subsaharan Africa","AGO","Angola",2026,752306.531294366,3.55834811098872
"AFL","LDC Subsaharan Africa","AGO","Angola",2027,752793.77715241,3.56065274388294
"AFL","LDC Subsaharan Africa","AGO","Angola",2028,753164.854702767,3.56240791022195
"AFL","LDC Subsaharan Africa","AGO","Angola",2029,753467.922458125,3.56384139581581
"AFL","LDC Subsaharan Africa","AGO","Angola",2030,753734.79656347,3.56510368841746
"AFL","LDC Subsaharan Africa","BEN","Benin",2013,22995.9007514033,1
"AFL","LDC Subsaharan Africa","BEN","Benin",2014,21214.8774368485,0.922550400012225
"AFL","LDC Subsaharan Africa","BEN","Benin",2015,20042.8220481928,0.871582386133306
"AFL","LDC Subsaharan Africa","BEN","Benin",2016,19159.6724277014,0.833177731754311
"AFL","LDC Subsaharan Africa","BEN","Benin",2017,18474.5871715846,0.80338610656324
"AFL","LDC Subsaharan Africa","BEN","Benin",2018,17942.4433001985,0.780245292157281
"AFL","LDC Subsaharan Africa","BEN","Benin",2019,17511.7670766296,0.761516901031198
"AFL","LDC Subsaharan Africa","BEN","Benin",2020,17158.3873586217,0.746149826619628
"AFL","LDC Subsaharan Africa","BEN","Benin",2021,16868.765104777,0.733555310015311
"AFL","LDC Subsaharan Africa","BEN","Benin",2022,16646.6896848651,0.723898135794886
"AFL","LDC Subsaharan Africa","BEN","Benin",2023,16505.1769300323,0.717744310538699
"AFL","LDC Subsaharan Africa","BEN","Benin",2024,16360.9427009806,0.711472139223865
"AFL","LDC Subsaharan Africa","BEN","Benin",2025,16193.8902576739,0.704207694786024
"AFL","LDC Subsaharan Africa","BEN","Benin",2026,16089.6620900966,0.699675227512657
"AFL","LDC Subsaharan Africa","BEN","Benin",2027,15970.6961830077,0.69450187473231
"AFL","LDC Subsaharan Africa","BEN","Benin",2028,15895.2289610502,0.691220106265252
"AFL","LDC Subsaharan Africa","BEN","Benin",2029,15810.8222624436,0.687549595615593
"AFL","LDC Subsaharan Africa","BEN","Benin",2030,15757.062409095,0.685211794025222
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2013,2358.6009715098,1
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2014,2537.73390850325,1.07594880997559
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2015,2689.78116354432,1.14041382838171
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2016,2830.26279909528,1.19997525367064
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2017,2961.31958096522,1.25554072805694
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2018,3076.85825898754,1.30452683440471
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2019,3196.2338631032,1.35513972126332
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2020,3300.59276872085,1.39938582600009
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2021,3365.50125812007,1.42690573724547
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2022,3421.50000949041,1.45064809640107
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2023,3486.69445662807,1.47828924805206
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2024,3538.36271101405,1.50019556243507
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2025,3582.18083789514,1.51877357856005
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2026,3626.31038450509,1.53748363046921
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2027,3674.545187415,1.5579342295712
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2028,3721.24639505637,1.57773461471709
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2029,3765.43665872038,1.5964704094521
"AFL","LDC Subsaharan Africa","COD","Congo - Kinshasa",2030,3804.17413920733,1.6128943323432
"AFL","LDC Subsaharan Africa","COM","Comoros",2013,40033.6070354814,1
"AFL","LDC Subsaharan Africa","COM","Comoros",2014,32822.5758092857,0.819875555559991
"AFL","LDC Subsaharan Africa","COM","Comoros",2015,35415.1906505737,0.884636515994813
"AFL","LDC Subsaharan Africa","COM","Comoros",2016,37646.099986958,0.940362429835327
"AFL","LDC Subsaharan Africa","COM","Comoros",2017,39789.8180345995,0.993910391320327
"AFL","LDC Subsaharan Africa","COM","Comoros",2018,41450.1882913586,1.03538480193957
"AFL","LDC Subsaharan Africa","COM","Comoros",2019,42807.0621433569,1.0692781718474
"AFL","LDC Subsaharan Africa","COM","Comoros",2020,44076.9145143692,1.10099783102992
"AFL","LDC Subsaharan Africa","COM","Comoros",2021,46055.4895242307,1.15042068238848
"AFL","LDC Subsaharan Africa","COM","Comoros",2022,50846.8650980745,1.27010451626328
"AFL","LDC Subsaharan Africa","COM","Comoros",2023,58701.2279937353,1.46629875098961
"AFL","LDC Subsaharan Africa","COM","Comoros",2024,60096.4234609542,1.50114935703124
"AFL","LDC Subsaharan Africa","COM","Comoros",2025,59597.738034161,1.48869268715507
"AFL","LDC Subsaharan Africa","COM","Comoros",2026,60630.0393421789,1.51447855519097
"AFL","LDC Subsaharan Africa","COM","Comoros",2027,60198.5977870567,1.50370157087527
"AFL","LDC Subsaharan Africa","COM","Comoros",2028,60957.8582109206,1.52266714705208
"AFL","LDC Subsaharan Africa","COM","Comoros",2029,60632.2818034371,1.51453456966042
"AFL","LDC Subsaharan Africa","COM","Comoros",2030,61190.0803069606,1.52846782586262
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2013,703.978200296037,1
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2014,724.062442241801,1.02852963619799
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2015,740.591727233543,1.05200946126188
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2016,757.481120882829,1.07600082014513
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2017,772.529793832189,1.09737743797652
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2018,794.445828164056,1.1285091325697
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2019,813.998835437327,1.15628415069533
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2020,835.661900877531,1.18705650334928
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2021,850.411475313807,1.20800825218195
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2022,861.740017503412,1.22410042973068
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2023,873.442060821296,1.2407231650838
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2024,883.864379157825,1.25552805297968
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2025,897.026201785838,1.27422440269971
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2026,907.96487427182,1.28976277090683
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2027,920.454097258469,1.30750369382376
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2028,930.410655223877,1.32164696979625
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2029,940.054722205465,1.33534635278501
"AFL","LDC Subsaharan Africa","DJI","Djibouti",2030,949.68986087323,1.34903305311708
"AFL","LDC Subsaharan Africa","ERI","Eritrea",2013,4449.32313530745,1
"AFL","LDC Subsaharan Africa","ERI","Eritrea",2014,4499.365865361,1.01124726807465
"AFL","LDC Subsaharan Africa","ERI","Eritrea",2015,4544.68004604381,1.02143177913505
"AFL","LDC Subsaharan Africa","ERI","Eritrea",2016,4588.81036754609,1.03135021395316
