"iso3","country","food_code","year","AqCaH","Base","Diff","Perc"
"AFG","Afghanistan","BT",2017,22.86,22.86,0,0
"AFG","Afghanistan","BT",2018,22.24502837,22.24502837,0,0
"AFG","Afghanistan","BT",2019,21.75538462,21.75538462,0,0
"AFG","Afghanistan","BT",2020,21.71412646,21.7115296,0.002596869,0.011960785
"AFG","Afghanistan","BT",2021,22.06290176,22.0616852,0.001216553,0.005514326
"AFG","Afghanistan","BT",2022,22.38574922,22.38205453,0.003694686,0.016507357
"AFG","Afghanistan","BT",2023,22.70015011,22.6938106,0.006339511,0.02793498
"AFG","Afghanistan","BT",2024,22.98814578,22.98166884,0.006476944,0.028183087
"AFG","Afghanistan","BT",2025,23.2778478,23.27257333,0.005274476,0.022663912
"AFG","Afghanistan","BT",2026,23.55601546,23.5513477,0.004667757,0.019819488
"AFG","Afghanistan","BT",2027,23.82193525,23.81758879,0.004346455,0.018248929
"AFG","Afghanistan","BT",2028,24.07817622,24.07391944,0.00425678,0.017682125
"AFG","Afghanistan","BT",2029,24.322328,24.31946404,0.002863953,0.011776382
"AFG","Afghanistan","BT",2030,24.55947313,24.55794934,0.001523785,0.006204853
"AFG","Afghanistan","BV",2017,16.9,16.9,0,0
"AFG","Afghanistan","BV",2018,16.62566186,16.62566186,0,0
"AFG","Afghanistan","BV",2019,16.29746959,16.29746959,0,0
"AFG","Afghanistan","BV",2020,16.2982183,16.29545081,0.002767492,0.016983216
"AFG","Afghanistan","BV",2021,16.3020873,16.3056881,-0.003600797,-0.022083071
"AFG","Afghanistan","BV",2022,16.30890756,16.31796992,-0.009062358,-0.055536063
"AFG","Afghanistan","BV",2023,16.30031445,16.31134265,-0.011028196,-0.067610597
"AFG","Afghanistan","BV",2024,16.289954,16.30217032,-0.01221632,-0.074936773
"AFG","Afghanistan","BV",2025,16.28097236,16.29613165,-0.015159289,-0.093023847
"AFG","Afghanistan","BV",2026,16.27321609,16.29175409,-0.018537998,-0.113787614
"AFG","Afghanistan","BV",2027,16.2673223,16.28955728,-0.022234984,-0.136498391
"AFG","Afghanistan","BV",2028,16.25904823,16.28511969,-0.026071455,-0.160093727
"AFG","Afghanistan","BV",2029,16.25326799,16.2829563,-0.029688309,-0.182327509
"AFG","Afghanistan","BV",2030,16.24973396,16.28324918,-0.033515219,-0.205826359
"AFG","Afghanistan","CN",2017,0.01,0.01,0,0
"AFG","Afghanistan","CN",2018,0.00976821,0.00976821,0,0
"AFG","Afghanistan","CN",2019,0.009548785,0.009548785,0,0
"AFG","Afghanistan","CN",2020,0.009336523,0.009336523,0,0
"AFG","Afghanistan","CN",2021,0.00913048,0.00913048,0,0
"AFG","Afghanistan","CN",2022,0.008931848,0.008931848,0,0
"AFG","Afghanistan","CN",2023,0.008740659,0.008740659,0,0
"AFG","Afghanistan","CN",2024,0.008557345,0.008557345,0,0
"AFG","Afghanistan","CN",2025,0.00838203,0.00838203,0,0
"AFG","Afghanistan","CN",2026,0.008214204,0.008214204,0,0
"AFG","Afghanistan","CN",2027,0.008053181,0.008053181,0,0
"AFG","Afghanistan","CN",2028,0.007898678,0.007898678,0,0
"AFG","Afghanistan","CN",2029,0.007750441,0.007750441,0,0
"AFG","Afghanistan","CN",2030,0.007608228,0.007608228,0,0
"AFG","Afghanistan","EG",2017,5.16,5.16,0,0
"AFG","Afghanistan","EG",2018,5.230115902,5.230115902,0,0
"AFG","Afghanistan","EG",2019,5.226833771,5.226833771,0,0
"AFG","Afghanistan","EG",2020,5.317736202,5.321257961,-0.003521758,-0.066182817
"AFG","Afghanistan","EG",2021,5.388202949,5.392780688,-0.004577739,-0.084886421
"AFG","Afghanistan","EG",2022,5.468607915,5.475292157,-0.006684243,-0.12208011
"AFG","Afghanistan","EG",2023,5.546640325,5.555306396,-0.008666071,-0.15599627
"AFG","Afghanistan","EG",2024,5.632816004,5.643312985,-0.010496981,-0.186007427
"AFG","Afghanistan","EG",2025,5.715344185,5.727638929,-0.012294744,-0.214656414
"AFG","Afghanistan","EG",2026,5.797932816,5.812075692,-0.014142876,-0.243336057
"AFG","Afghanistan","EG",2027,5.879037804,5.894999235,-0.015961431,-0.270762221
"AFG","Afghanistan","EG",2028,5.964768519,5.983342726,-0.018574208,-0.310431952
"AFG","Afghanistan","EG",2029,6.048964815,6.069501227,-0.020536411,-0.338354182
"AFG","Afghanistan","EG",2030,6.131211133,6.154483097,-0.023271964,-0.378130276
"AFG","Afghanistan","FH",2017,0.69,0.69,0,0
"AFG","Afghanistan","FH",2018,0.683601529,0.683601529,0,0
"AFG","Afghanistan","FH",2019,0.669752459,0.669752459,0,0
"AFG","Afghanistan","FH",2020,0.666483115,0.661582494,0.004900621,0.740742173
"AFG","Afghanistan","FH",2021,0.667598374,0.660339169,0.007259205,1.099314658
"AFG","Afghanistan","FH",2022,0.669840588,0.659674329,0.010166259,1.541102786
"AFG","Afghanistan","FH",2023,0.67224356,0.658989128,0.013254431,2.011327755
"AFG","Afghanistan","FH",2024,0.675977334,0.659830331,0.016147003,2.447144772
"AFG","Afghanistan","FH",2025,0.68015326,0.660978649,0.019174611,2.900942552
"AFG","Afghanistan","FH",2026,0.684640346,0.66244872,0.022191626,3.349938735
"AFG","Afghanistan","FH",2027,0.691554389,0.666526307,0.025028083,3.755002964
"AFG","Afghanistan","FH",2028,0.694315495,0.665333145,0.02898235,4.35606585
"AFG","Afghanistan","FH",2029,0.700191276,0.667936853,0.032254423,4.828962952
"AFG","Afghanistan","FH",2030,0.706150107,0.669680734,0.036469372,5.445784902
"AFG","Afghanistan","FV",2017,70.83,70.83,0,0
"AFG","Afghanistan","FV",2018,70.88407561,70.88407561,0,0
"AFG","Afghanistan","FV",2019,70.96004062,70.96004062,0,0
"AFG","Afghanistan","FV",2020,70.93595184,70.93728542,-0.001333581,-0.001879943
"AFG","Afghanistan","FV",2021,71.00063737,70.99467089,0.005966484,0.00840413
"AFG","Afghanistan","FV",2022,71.07784906,71.06490941,0.012939657,0.018208223
"AFG","Afghanistan","FV",2023,71.14620589,71.12436927,0.021836621,0.030702023
"AFG","Afghanistan","FV",2024,71.27796822,71.2565213,0.021446923,0.03009819
"AFG","Afghanistan","FV",2025,71.45502832,71.43580653,0.019221796,0.026907788
"AFG","Afghanistan","FV",2026,71.68696406,71.6680994,0.018864658,0.026322252
"AFG","Afghanistan","FV",2027,71.96353965,71.94370286,0.019836789,0.027572655
"AFG","Afghanistan","FV",2028,72.27549359,72.25515275,0.020340844,0.028151409
"AFG","Afghanistan","FV",2029,72.63267176,72.61166344,0.021008323,0.028932436
"AFG","Afghanistan","FV",2030,73.03657034,73.01631343,0.020256915,0.027742998
"AFG","Afghanistan","HFCS",2017,1.3,1.3,0,0
"AFG","Afghanistan","HFCS",2018,1.269867303,1.269867303,0,0
"AFG","Afghanistan","HFCS",2019,1.241342066,1.241342066,0,0
"AFG","Afghanistan","HFCS",2020,1.213747937,1.213747937,0,0
"AFG","Afghanistan","HFCS",2021,1.186962388,1.186962388,0,0
"AFG","Afghanistan","HFCS",2022,1.161140244,1.161140244,0,0
"AFG","Afghanistan","HFCS",2023,1.136285661,1.136285661,0,0
"AFG","Afghanistan","HFCS",2024,1.112454818,1.112454818,0,0
"AFG","Afghanistan","HFCS",2025,1.089663878,1.089663878,0,0
"AFG","Afghanistan","HFCS",2026,1.067846468,1.067846468,0,0
"AFG","Afghanistan","HFCS",2027,1.04691347,1.04691347,0,0
"AFG","Afghanistan","HFCS",2028,1.026828103,1.026828103,0,0
"AFG","Afghanistan","HFCS",2029,1.007557295,1.007557295,0,0
"AFG","Afghanistan","HFCS",2030,0.989069696,0.989069696,0,0
"AFG","Afghanistan","MA",2017,11.39,11.39,0,0
"AFG","Afghanistan","MA",2018,10.72094041,10.72094041,0,0
"AFG","Afghanistan","MA",2019,10.51634495,10.51634495,0,0
"AFG","Afghanistan","MA",2020,10.43803934,10.43836369,-0.000324359,-0.003107374
"AFG","Afghanistan","MA",2021,10.35454841,10.35359916,0.00094925,0.009168314
"AFG","Afghanistan","MA",2022,10.28276783,10.28191421,0.000853624,0.008302189
"AFG","Afghanistan","MA",2023,10.21189323,10.21217769,-0.000284458,-0.002785477
"AFG","Afghanistan","MA",2024,10.14942625,10.15009535,-0.000669102,-0.006592079
"AFG","Afghanistan","MA",2025,10.09160329,10.09255165,-0.00094836,-0.009396633
"AFG","Afghanistan","MA",2026,10.03741582,10.03836438,-0.000948559,-0.009449339
"AFG","Afghanistan","MA",2027,9.98818978,9.989202883,-0.001013103,-0.010141984
"AFG","Afghanistan","MA",2028,9.943234473,9.944729138,-0.001494665,-0.01502972
"AFG","Afghanistan","MA",2029,9.90207941,9.90398068,-0.00190127,-0.019197025
"AFG","Afghanistan","MA",2030,9.865972896,9.868393542,-0.002420646,-0.024529276
"AFG","Afghanistan","MK",2017,85.45,85.45,0,0
"AFG","Afghanistan","MK",2018,87.86621957,87.86621957,0,0
"AFG","Afghanistan","MK",2019,85.92826851,85.92826851,0,0
"AFG","Afghanistan","MK",2020,87.28128463,87.29444219,-0.013157567,-0.015072629
"AFG","Afghanistan","MK",2021,87.96150265,87.984796,-0.023293352,-0.026474292
"AFG","Afghanistan","MK",2022,88.69543404,88.72779382,-0.032359779,-0.036470848
"AFG","Afghanistan","MK",2023,89.42350957,89.46333257,-0.039823008,-0.044513217
"AFG","Afghanistan","MK",2024,90.21536013,90.26484992,-0.049489796,-0.054827318
"AFG","Afghanistan","MK",2025,91.04747253,91.10784684,-0.06037431,-0.066266861
"AFG","Afghanistan","MK",2026,91.90901048,91.97987372,-0.070863244,-0.077042119
"AFG","Afghanistan","MK",2027,92.74352518,92.82417861,-0.080653431,-0.086888386
"AFG","Afghanistan","MK",2028,93.57141888,93.66532853,-0.093909646,-0.100260841
"AFG","Afghanistan","MK",2029,94.37698128,94.48266965,-0.105688367,-0.111860055
"AFG","Afghanistan","MK",2030,95.08743424,95.20815723,-0.12072299,-0.126798999
"AFG","Afghanistan","OCG",2017,8.66,8.66,0,0
"AFG","Afghanistan","OCG",2018,8.370019837,8.370019837,0,0
"AFG","Afghanistan","OCG",2019,8.284198702,8.284198702,0,0
"AFG","Afghanistan","OCG",2020,8.199534571,8.200370881,-0.00083631,-0.010198436
"AFG","Afghanistan","OCG",2021,8.125823447,8.125982919,-0.000159472,-0.001962494
"AFG","Afghanistan","OCG",2022,8.062523317,8.062534086,-1.08e-05,-0.00013358
"AFG","Afghanistan","OCG",2023,7.981828584,7.981897042,-6.85e-05,-0.000857668
"AFG","Afghanistan","OCG",2024,7.916861375,7.917127225,-0.00026585,-0.003357914
"AFG","Afghanistan","OCG",2025,7.846234914,7.846754349,-0.000519435,-0.006619745
"AFG","Afghanistan","OCG",2026,7.774687953,7.775388054,-0.000700101,-0.00900406
"AFG","Afghanistan","OCG",2027,7.702483041,7.703249966,-0.000766925,-0.00995586
"AFG","Afghanistan","OCG",2028,7.626697566,7.627954589,-0.001257023,-0.016479157
"AFG","Afghanistan","OCG",2029,7.546823595,7.548371093,-0.001547498,-0.020501088
"AFG","Afghanistan","OCG",2030,7.463170591,7.465347577,-0.002176987,-0.029161222
"AFG","Afghanistan","OOS",2017,6.79,6.79,0,0
"AFG","Afghanistan","OOS",2018,6.650014053,6.650014053,0,0
"AFG","Afghanistan","OOS",2019,6.610861533,6.610861533,0,0
"AFG","Afghanistan","OOS",2020,6.620065924,6.619374499,0.000691424,0.010445465
"AFG","Afghanistan","OOS",2021,6.599979699,6.598751471,0.001228229,0.018613045
"AFG","Afghanistan","OOS",2022,6.595035127,6.593609367,0.001425759,0.021623354
"AFG","Afghanistan","OOS",2023,6.593417831,6.591615134,0.001802697,0.027348328
"AFG","Afghanistan","OOS",2024,6.587379731,6.585400657,0.001979075,0.030052454
"AFG","Afghanistan","OOS",2025,6.583864681,6.58158134,0.002283341,0.034692897
"AFG","Afghanistan","OOS",2026,6.581636027,6.579138983,0.002497044,0.037953962
"AFG","Afghanistan","OOS",2027,6.581439655,6.578657831,0.002781824,0.042285586
"AFG","Afghanistan","OOS",2028,6.581448034,6.578429333,0.0030187,0.045887858
"AFG","Afghanistan","OOS",2029,6.582260736,6.578994362,0.003266375,0.049648539
"AFG","Afghanistan","OOS",2030,6.583923512,6.58035418,0.003569332,0.05424224
"AFG","Afghanistan","OTH",2017,50.88,50.88,0,0
"AFG","Afghanistan","OTH",2018,50.91884466,50.91884466,0,0
"AFG","Afghanistan","OTH",2019,50.97341334,50.97341334,0,0
"AFG","Afghanistan","OTH",2020,50.95610941,50.95706737,-0.000957964,-0.001879943
"AFG","Afghanistan","OTH",2021,51.0025756,50.99828963,0.004285962,0.00840413
"AFG","Afghanistan","OTH",2022,51.05803982,51.04874475,0.009295069,0.018208223
"AFG","Afghanistan","OTH",2023,51.10714324,51.09145713,0.015686111,0.030702023
"AFG","Afghanistan","OTH",2024,51.20179335,51.18638717,0.015406176,0.03009819
"AFG","Afghanistan","OTH",2025,51.32898265,51.31517487,0.013807779,0.026907788
"AFG","Afghanistan","OTH",2026,51.49559129,51.48204006,0.013551232,0.026322252
"AFG","Afghanistan","OTH",2027,51.69426652,51.68001697,0.014249553,0.027572655
"AFG","Afghanistan","OTH",2028,51.91835541,51.90374378,0.014611635,0.028151409
"AFG","Afghanistan","OTH",2029,52.17493067,52.15983956,0.015091112,0.028932436
"AFG","Afghanistan","OTH",2030,52.46506705,52.4505157,0.014551346,0.027742998
"AFG","Afghanistan","PK",2017,0.09,0.09,0,0
"AFG","Afghanistan","PK",2018,0.088741489,0.088741489,0,0
"AFG","Afghanistan","PK",2019,0.08455907,0.08455907,0,0
"AFG","Afghanistan","PK",2020,0.085711588,0.085741432,-2.98e-05,-0.034806125
"AFG","Afghanistan","PK",2021,0.086034239,0.086113726,-7.95e-05,-0.092304835
"AFG","Afghanistan","PK",2022,0.086322953,0.086394953,-7.2e-05,-0.083338951
"AFG","Afghanistan","PK",2023,0.086695467,0.086802194,-0.000106728,-0.12295513
"AFG","Afghanistan","PK",2024,0.087025215,0.087154134,-0.000128919,-0.147920191
"AFG","Afghanistan","PK",2025,0.087391425,0.087550139,-0.000158714,-0.181283621
"AFG","Afghanistan","PK",2026,0.087672508,0.087854693,-0.000182185,-0.20737044
"AFG","Afghanistan","PK",2027,0.087954407,0.088161168,-0.000206761,-0.234526155
"AFG","Afghanistan","PK",2028,0.088232844,0.08846889,-0.000236046,-0.266812944
"AFG","Afghanistan","PK",2029,0.088540876,0.088808341,-0.000267465,-0.301171578
"AFG","Afghanistan","PK",2030,0.088751891,0.089048814,-0.000296923,-0.333438988
"AFG","Afghanistan","PS",2017,2.78,2.78,0,0
"AFG","Afghanistan","PS",2018,2.804827936,2.804827936,0,0
"AFG","Afghanistan","PS",2019,2.831854778,2.831854778,0,0
"AFG","Afghanistan","PS",2020,2.845908427,2.845944726,-3.63e-05,-0.001275453
"AFG","Afghanistan","PS",2021,2.851812425,2.851449182,0.000363243,0.01273888
"AFG","Afghanistan","PS",2022,2.851382633,2.85071552,0.000667113,0.0234016
"AFG","Afghanistan","PS",2023,2.856243365,2.855386909,0.000856456,0.029994408
"AFG","Afghanistan","PS",2024,2.857527227,2.856617665,0.000909562,0.031840532
"AFG","Afghanistan","PS",2025,2.86080217,2.859893602,0.000908568,0.031769293
"AFG","Afghanistan","PS",2026,2.865147142,2.864206164,0.000940978,0.032853022
"AFG","Afghanistan","PS",2027,2.86920911,2.868243283,0.000965828,0.033673146
"AFG","Afghanistan","PS",2028,2.873857507,2.872955275,0.000902231,0.031404292
"AFG","Afghanistan","PS",2029,2.878395655,2.877510363,0.000885293,0.030765924
"AFG","Afghanistan","PS",2030,2.883588109,2.882776801,0.000811308,0.028143276
"AFG","Afghanistan","PT",2017,6.14,6.14,0,0
