"group_code","group_name","aq_type","sector","sector_long","year","prod_mt"
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2018,232.5
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2019,237.167811354351
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2020,241.929336527368
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2021,246.786456974649
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2022,251.741091925042
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2023,256.795199138997
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2024,261.950775682153
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2025,267.209858714455
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2026,272.574526295108
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2027,278.046898203697
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2028,283.629136777793
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2029,289.323447767368
"AFL","LDC Subsaharan Africa","inland","crustaceans","inland-crustaceans",2030,295.132081206372
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2018,208076.225132727
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2019,222858.757394605
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2020,238694.927019918
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2021,255660.018435706
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2022,273834.70717706
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2023,293305.446748397
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2024,314164.883300829
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2025,336512.300129491
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2026,360454.094139285
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2027,386104.28658257
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2028,413585.070538618
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2029,443027.397782971
"AFL","LDC Subsaharan Africa","inland","finfish","inland-finfish",2030,474571.607886027
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2018,693.916859751974
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2019,719.819483966123
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2020,746.789678147676
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2021,774.872825645077
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2022,804.116256318732
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2023,834.569330235664
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2024,866.283524965304
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2025,899.312526631366
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2026,933.712324881493
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2027,969.541311943228
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2028,1006.86038594221
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2029,1045.73305866598
"AFL","LDC Subsaharan Africa","marine","bivalves","marine-bivalves",2030,1086.22556796479
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2018,6243.2922986455
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2019,6418.52408178374
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2020,6599.30934453199
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2021,6785.85995457612
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2022,6978.39765588869
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2023,7177.15460361388
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2024,7382.37393045391
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2025,7594.31034648585
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2026,7813.23077445855
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2027,8039.41502274687
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2028,8273.15649827595
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2029,8514.76296187273
"AFL","LDC Subsaharan Africa","marine","crustaceans","marine-crustaceans",2030,8764.55732865507
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2018,640.590368977909
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2019,661.130557508299
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2020,682.390862310767
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2021,704.397230888939
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2022,727.176553004351
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2023,750.756694967734
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2024,775.166535178989
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2025,800.436000961342
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2026,826.596106736809
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2027,853.678993591814
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2028,881.717970283611
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2029,910.74755573996
"AFL","LDC Subsaharan Africa","marine","finfish","marine-finfish",2030,940.803523106465
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2018,30
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2019,30.6022982392711
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2020,31.2166885841765
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2021,31.8434138031806
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2022,32.4827215387151
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2023,33.1348644050318
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2024,33.8001000880197
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2025,34.4786914470264
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2026,35.1709066187236
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2027,35.8770191230577
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2028,36.5973079713281
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2029,37.3320577764346
"AFN","Other North Africa","inland","crustaceans","inland-crustaceans",2030,38.0815588653383
"AFN","Other North Africa","inland","finfish","inland-finfish",2018,3159.48515589601
"AFN","Other North Africa","inland","finfish","inland-finfish",2019,3336.2210394082
"AFN","Other North Africa","inland","finfish","inland-finfish",2020,3525.03065043444
"AFN","Other North Africa","inland","finfish","inland-finfish",2021,3726.79892587347
"AFN","Other North Africa","inland","finfish","inland-finfish",2022,3942.4774774653
"AFN","Other North Africa","inland","finfish","inland-finfish",2023,4173.08969676611
"AFN","Other North Africa","inland","finfish","inland-finfish",2024,4419.73625603727
"AFN","Other North Africa","inland","finfish","inland-finfish",2025,4683.60103610766
"AFN","Other North Africa","inland","finfish","inland-finfish",2026,4965.95751473095
"AFN","Other North Africa","inland","finfish","inland-finfish",2027,5268.17565161847
"AFN","Other North Africa","inland","finfish","inland-finfish",2028,5591.72930920034
"AFN","Other North Africa","inland","finfish","inland-finfish",2029,5938.20425126987
"AFN","Other North Africa","inland","finfish","inland-finfish",2030,6309.30676501717
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2018,607.015357442564
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2019,627.591272713266
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2020,648.98659094631
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2021,671.235789310789
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2022,694.374819415728
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2023,718.441170655492
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2024,743.473936280137
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2025,769.513882307974
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2026,796.603519402648
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2027,824.787177842296
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2028,854.111085713872
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2029,884.623450471386
"AFN","Other North Africa","marine","bivalves","marine-bivalves",2030,916.374544002864
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2018,38.3150003939806
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2019,39.4799500258688
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2020,40.6868759459799
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2021,41.9376324138899
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2022,43.2341706291974
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2023,44.5785443387155
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2024,45.9729157843399
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2025,47.4195620127384
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2026,48.9208815693316
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2027,50.479401600444
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2028,52.0977853889989
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2029,53.7788403507201
"AFN","Other North Africa","marine","crustaceans","marine-crustaceans",2030,55.5255265194953
"AFN","Other North Africa","marine","finfish","marine-finfish",2018,21657.4202858424
"AFN","Other North Africa","marine","finfish","marine-finfish",2019,22433.8628848936
"AFN","Other North Africa","marine","finfish","marine-finfish",2020,23238.461410797
"AFN","Other North Africa","marine","finfish","marine-finfish",2021,24072.2401321754
"AFN","Other North Africa","marine","finfish","marine-finfish",2022,24936.2606117771
"AFN","Other North Africa","marine","finfish","marine-finfish",2023,25831.6230647032
"AFN","Other North Africa","marine","finfish","marine-finfish",2024,26759.4677661039
"AFN","Other North Africa","marine","finfish","marine-finfish",2025,27720.976510146
"AFN","Other North Africa","marine","finfish","marine-finfish",2026,28717.3741221179
"AFN","Other North Africa","marine","finfish","marine-finfish",2027,29749.9300256091
"AFN","Other North Africa","marine","finfish","marine-finfish",2028,30819.9598667691
"AFN","Other North Africa","marine","finfish","marine-finfish",2029,31928.8271977239
"AFN","Other North Africa","marine","finfish","marine-finfish",2030,33077.9452213076
"AFS","Other Subsaharan Africa","inland","crustaceans","inland-crustaceans",2018,135.326424514552
"AFS","Other Subsaharan Africa","inland","crustaceans","inland-crustaceans",2019,138.043320088284
"AFS","Other Subsaharan Africa","inland","crustaceans","inland-crustaceans",2020,140.814761709361
"AFS","Other Subsaharan Africa","inland","crustaceans","inland-crustaceans",2021,143.641844477392
"AFS","Other Subsaharan Africa","inland","crustaceans","inland-crustaceans",2022,146.525685477872
