"iso3","country","food_code","year","AqCaH","AqCaL","Diff","Perc"
"AFG","Afghanistan","BT",2017,22.86,22.86,0,0
"AFG","Afghanistan","BT",2018,22.24502837,22.24502837,0,0
"AFG","Afghanistan","BT",2019,21.75538462,21.75538462,0,0
"AFG","Afghanistan","BT",2020,21.71195263,21.71168363,0.000269,0.001238962
"AFG","Afghanistan","BT",2021,22.060291,22.07370935,-0.013418354,-0.060788849
"AFG","Afghanistan","BT",2022,22.38201173,22.40271646,-0.020704736,-0.092420648
"AFG","Afghanistan","BT",2023,22.69542258,22.72002354,-0.024600956,-0.108278745
"AFG","Afghanistan","BT",2024,22.98377306,23.01326821,-0.029495147,-0.128165835
"AFG","Afghanistan","BT",2025,23.27415807,23.3081216,-0.033963533,-0.145715443
"AFG","Afghanistan","BT",2026,23.55239588,23.59670074,-0.044304857,-0.187758695
"AFG","Afghanistan","BT",2027,23.81814998,23.87029574,-0.05214576,-0.218454606
"AFG","Afghanistan","BT",2028,24.07429172,24.13312604,-0.058834325,-0.243790733
"AFG","Afghanistan","BT",2029,24.31850585,24.38483261,-0.06632676,-0.272000064
"AFG","Afghanistan","BT",2030,24.55571382,24.62872205,-0.073008223,-0.296435285
"AFG","Afghanistan","BV",2017,16.9,16.9,0,0
"AFG","Afghanistan","BV",2018,16.62566186,16.62566186,0,0
"AFG","Afghanistan","BV",2019,16.29746959,16.29746959,0,0
"AFG","Afghanistan","BV",2020,16.29642146,16.29575115,0.000670317,0.004113444
"AFG","Afghanistan","BV",2021,16.30234515,16.32073476,-0.018389612,-0.112676374
"AFG","Afghanistan","BV",2022,16.30914895,16.34972833,-0.040579379,-0.248196047
"AFG","Afghanistan","BV",2023,16.29977073,16.36496285,-0.065192118,-0.398363985
"AFG","Afghanistan","BV",2024,16.28860818,16.37579532,-0.087187137,-0.532414674
"AFG","Afghanistan","BV",2025,16.27990612,16.38844836,-0.108542239,-0.662309428
"AFG","Afghanistan","BV",2026,16.27257318,16.40308603,-0.130512853,-0.795660355
"AFG","Afghanistan","BV",2027,16.26667916,16.41948277,-0.152803608,-0.930623761
"AFG","Afghanistan","BV",2028,16.25823262,16.43619521,-0.177962589,-1.082748084
"AFG","Afghanistan","BV",2029,16.25242263,16.45270033,-0.200277696,-1.217293771
"AFG","Afghanistan","BV",2030,16.24895957,16.47096431,-0.222004735,-1.347855114
"AFG","Afghanistan","CN",2017,0.01,0.01,0,0
"AFG","Afghanistan","CN",2018,0.00976821,0.00976821,0,0
"AFG","Afghanistan","CN",2019,0.009548785,0.009548785,0,0
"AFG","Afghanistan","CN",2020,0.009336523,0.009336523,0,0
"AFG","Afghanistan","CN",2021,0.00913048,0.00913048,0,0
"AFG","Afghanistan","CN",2022,0.008931848,0.008931848,0,0
"AFG","Afghanistan","CN",2023,0.008740659,0.008740659,0,0
"AFG","Afghanistan","CN",2024,0.008557345,0.008557345,0,0
"AFG","Afghanistan","CN",2025,0.00838203,0.00838203,0,0
"AFG","Afghanistan","CN",2026,0.008214204,0.008214204,0,0
"AFG","Afghanistan","CN",2027,0.008053181,0.008053181,0,0
"AFG","Afghanistan","CN",2028,0.007898678,0.007898678,0,0
"AFG","Afghanistan","CN",2029,0.007750441,0.007750441,0,0
"AFG","Afghanistan","CN",2030,0.007608228,0.007608228,0,0
"AFG","Afghanistan","EG",2017,5.16,5.16,0,0
"AFG","Afghanistan","EG",2018,5.230115902,5.230115902,0,0
"AFG","Afghanistan","EG",2019,5.226833771,5.226833771,0,0
"AFG","Afghanistan","EG",2020,5.31847877,5.326988278,-0.008509508,-0.159743315
"AFG","Afghanistan","EG",2021,5.388839947,5.404855787,-0.01601584,-0.29632317
"AFG","Afghanistan","EG",2022,5.469391011,5.495420304,-0.026029293,-0.473654275
"AFG","Afghanistan","EG",2023,5.547412044,5.583457193,-0.036045148,-0.645570427
"AFG","Afghanistan","EG",2024,5.633563339,5.680425838,-0.046862499,-0.824982152
"AFG","Afghanistan","EG",2025,5.71601505,5.773652549,-0.057637499,-0.998284863
"AFG","Afghanistan","EG",2026,5.798573891,5.866687836,-0.068113945,-1.161028967
"AFG","Afghanistan","EG",2027,5.879708436,5.960248042,-0.080539607,-1.351279444
"AFG","Afghanistan","EG",2028,5.965465936,6.056082067,-0.090616131,-1.496283081
"AFG","Afghanistan","EG",2029,6.049660451,6.152502748,-0.102842297,-1.671552231
"AFG","Afghanistan","EG",2030,6.131902504,6.247064061,-0.115161557,-1.843450872
"AFG","Afghanistan","FH",2017,0.69,0.69,0,0
"AFG","Afghanistan","FH",2018,0.683601529,0.683601529,0,0
"AFG","Afghanistan","FH",2019,0.669752459,0.669752459,0,0
"AFG","Afghanistan","FH",2020,0.665808976,0.652602542,0.013206434,2.023656558
"AFG","Afghanistan","FH",2021,0.666963692,0.638357318,0.028606374,4.481247941
"AFG","Afghanistan","FH",2022,0.669232668,0.62409067,0.045141999,7.233243613
"AFG","Afghanistan","FH",2023,0.671650496,0.610041236,0.06160926,10.09919596
"AFG","Afghanistan","FH",2024,0.675401731,0.59701822,0.078383511,13.12916566
"AFG","Afghanistan","FH",2025,0.679591578,0.58467405,0.094917528,16.23426387
"AFG","Afghanistan","FH",2026,0.684083538,0.573009571,0.111073967,19.38431271
"AFG","Afghanistan","FH",2027,0.691012966,0.561526692,0.129486274,23.05968281
"AFG","Afghanistan","FH",2028,0.693783709,0.550315077,0.143468633,26.07027111
"AFG","Afghanistan","FH",2029,0.699667751,0.53966522,0.160002531,29.64847935
"AFG","Afghanistan","FH",2030,0.705635731,0.529189312,0.176446419,33.34277828
"AFG","Afghanistan","FV",2017,70.83,70.83,0,0
"AFG","Afghanistan","FV",2018,70.88407561,70.88407561,0,0
"AFG","Afghanistan","FV",2019,70.96004062,70.96004062,0,0
"AFG","Afghanistan","FV",2020,70.93319576,70.94744009,-0.01424433,-0.020077299
"AFG","Afghanistan","FV",2021,70.99482398,71.02084337,-0.026019398,-0.036636285
"AFG","Afghanistan","FV",2022,71.06960423,71.10141229,-0.031808056,-0.04473618
"AFG","Afghanistan","FV",2023,71.13673373,71.16301608,-0.026282346,-0.036932592
"AFG","Afghanistan","FV",2024,71.27060434,71.2970424,-0.026438057,-0.037081562
"AFG","Afghanistan","FV",2025,71.44909798,71.48087833,-0.031780355,-0.04445994
"AFG","Afghanistan","FV",2026,71.68139751,71.73290401,-0.051506505,-0.071803179
"AFG","Afghanistan","FV",2027,71.95778857,72.01579963,-0.058011061,-0.080553241
"AFG","Afghanistan","FV",2028,72.26922975,72.33017154,-0.060941789,-0.084255004
"AFG","Afghanistan","FV",2029,72.62610632,72.6965208,-0.070414486,-0.096860875
"AFG","Afghanistan","FV",2030,73.03002579,73.10882295,-0.078797165,-0.107780651
"AFG","Afghanistan","HFCS",2017,1.3,1.3,0,0
"AFG","Afghanistan","HFCS",2018,1.269867303,1.269867303,0,0
"AFG","Afghanistan","HFCS",2019,1.241342066,1.241342066,0,0
"AFG","Afghanistan","HFCS",2020,1.213747937,1.213747937,0,0
"AFG","Afghanistan","HFCS",2021,1.186962388,1.186962388,0,0
"AFG","Afghanistan","HFCS",2022,1.161140244,1.161140244,0,0
"AFG","Afghanistan","HFCS",2023,1.136285661,1.136285661,0,0
"AFG","Afghanistan","HFCS",2024,1.112454818,1.112454818,0,0
"AFG","Afghanistan","HFCS",2025,1.089663878,1.089663878,0,0
"AFG","Afghanistan","HFCS",2026,1.067846468,1.067846468,0,0
"AFG","Afghanistan","HFCS",2027,1.04691347,1.04691347,0,0
"AFG","Afghanistan","HFCS",2028,1.026828103,1.026828103,0,0
"AFG","Afghanistan","HFCS",2029,1.007557295,1.007557295,0,0
"AFG","Afghanistan","HFCS",2030,0.989069696,0.989069696,0,0
"AFG","Afghanistan","MA",2017,11.39,11.39,0,0
"AFG","Afghanistan","MA",2018,10.72094041,10.72094041,0,0
"AFG","Afghanistan","MA",2019,10.51634495,10.51634495,0,0
"AFG","Afghanistan","MA",2020,10.43752975,10.4405201,-0.00299035,-0.028641771
"AFG","Afghanistan","MA",2021,10.35360161,10.3587354,-0.005133792,-0.049560029
"AFG","Afghanistan","MA",2022,10.28205329,10.28807349,-0.006020201,-0.058516312
"AFG","Afghanistan","MA",2023,10.21151946,10.21916,-0.007640538,-0.074766795
"AFG","Afghanistan","MA",2024,10.14916932,10.15858616,-0.009416843,-0.092698361
"AFG","Afghanistan","MA",2025,10.09128486,10.10291268,-0.011627822,-0.115093761
"AFG","Afghanistan","MA",2026,10.0369847,10.05211502,-0.015130312,-0.150518689
"AFG","Afghanistan","MA",2027,9.987732614,10.00406893,-0.01633632,-0.163296751
"AFG","Afghanistan","MA",2028,9.942799612,9.960460069,-0.017660457,-0.177305635
"AFG","Afghanistan","MA",2029,9.901677998,9.92163215,-0.019954152,-0.201117632
"AFG","Afghanistan","MA",2030,9.865584625,9.887728446,-0.02214382,-0.223952554
"AFG","Afghanistan","MK",2017,85.45,85.45,0,0
"AFG","Afghanistan","MK",2018,87.86621957,87.86621957,0,0
"AFG","Afghanistan","MK",2019,85.92826851,85.92826851,0,0
"AFG","Afghanistan","MK",2020,87.2826142,87.3217837,-0.039169502,-0.044856507
"AFG","Afghanistan","MK",2021,87.96279587,88.05630903,-0.093513156,-0.106196997
"AFG","Afghanistan","MK",2022,88.69636603,88.85073475,-0.154368712,-0.173739376
"AFG","Afghanistan","MK",2023,89.4231483,89.63326021,-0.210111911,-0.234412885
"AFG","Afghanistan","MK",2024,90.21518071,90.48594828,-0.270767566,-0.299237143
"AFG","Afghanistan","MK",2025,91.04766069,91.37816831,-0.33050762,-0.361692104
"AFG","Afghanistan","MK",2026,91.90908864,92.30197137,-0.392882724,-0.425649331
"AFG","Afghanistan","MK",2027,92.74347888,93.20763053,-0.464151654,-0.497976025
"AFG","Afghanistan","MK",2028,93.57148268,94.09212537,-0.520642686,-0.5533329
"AFG","Afghanistan","MK",2029,94.37722858,94.96418753,-0.58695895,-0.618084527
"AFG","Afghanistan","MK",2030,95.08782495,95.74021471,-0.65238976,-0.681416646
"AFG","Afghanistan","OCG",2017,8.66,8.66,0,0
"AFG","Afghanistan","OCG",2018,8.370019837,8.370019837,0,0
"AFG","Afghanistan","OCG",2019,8.284198702,8.284198702,0,0
"AFG","Afghanistan","OCG",2020,8.199308947,8.203421107,-0.004112161,-0.050127385
"AFG","Afghanistan","OCG",2021,8.12513084,8.131954696,-0.006823856,-0.083914092
"AFG","Afghanistan","OCG",2022,8.061780043,8.070167723,-0.00838768,-0.103934396
"AFG","Afghanistan","OCG",2023,7.981071931,7.991174376,-0.010102446,-0.126420037
"AFG","Afghanistan","OCG",2024,7.916229121,7.928004948,-0.011775827,-0.14853455
"AFG","Afghanistan","OCG",2025,7.845670479,7.858931558,-0.013261079,-0.168738954
"AFG","Afghanistan","OCG",2026,7.774131355,7.79048854,-0.016357185,-0.209963533
"AFG","Afghanistan","OCG",2027,7.701931865,7.719926871,-0.017995006,-0.233098137
"AFG","Afghanistan","OCG",2028,7.626149214,7.64538188,-0.019232666,-0.251559256
"AFG","Afghanistan","OCG",2029,7.546279774,7.568311076,-0.022031302,-0.29109932
"AFG","Afghanistan","OCG",2030,7.462639177,7.487423606,-0.024784429,-0.331014121
"AFG","Afghanistan","OOS",2017,6.79,6.79,0,0
"AFG","Afghanistan","OOS",2018,6.650014053,6.650014053,0,0
"AFG","Afghanistan","OOS",2019,6.610861533,6.610861533,0,0
"AFG","Afghanistan","OOS",2020,6.619610544,6.619168831,0.000441713,0.006673242
"AFG","Afghanistan","OOS",2021,6.599488918,6.599286692,0.000202226,0.003064357
"AFG","Afghanistan","OOS",2022,6.594600703,6.593474628,0.001126075,0.01707863
"AFG","Afghanistan","OOS",2023,6.592944332,6.590692303,0.00225203,0.034169849
"AFG","Afghanistan","OOS",2024,6.586976867,6.58412155,0.002855317,0.043366711
"AFG","Afghanistan","OOS",2025,6.583440139,6.579793863,0.003646276,0.055416263
"AFG","Afghanistan","OOS",2026,6.581250134,6.577838797,0.003411337,0.051861059
"AFG","Afghanistan","OOS",2027,6.581037157,6.576262023,0.004775135,0.072611688
"AFG","Afghanistan","OOS",2028,6.581047737,6.575739839,0.005307899,0.080719416
"AFG","Afghanistan","OOS",2029,6.581839172,6.575838483,0.006000688,0.091253583
"AFG","Afghanistan","OOS",2030,6.583512721,6.576803043,0.006709678,0.102020356
"AFG","Afghanistan","OTH",2017,50.88,50.88,0,0
"AFG","Afghanistan","OTH",2018,50.91884466,50.91884466,0,0
"AFG","Afghanistan","OTH",2019,50.97341334,50.97341334,0,0
"AFG","Afghanistan","OTH",2020,50.95412961,50.96436187,-0.010232267,-0.020077299
"AFG","Afghanistan","OTH",2021,50.9983996,51.01709037,-0.018690767,-0.036636285
"AFG","Afghanistan","OTH",2022,51.05211723,51.07496622,-0.022848989,-0.04473618
"AFG","Afghanistan","OTH",2023,51.10033901,51.11921866,-0.018879652,-0.036932592
"AFG","Afghanistan","OTH",2024,51.19650359,51.21549509,-0.018991505,-0.037081562
"AFG","Afghanistan","OTH",2025,51.32472265,51.34755174,-0.02282909,-0.04445994
"AFG","Afghanistan","OTH",2026,51.49159262,51.52859178,-0.036999167,-0.071803179
"AFG","Afghanistan","OTH",2027,51.69013529,51.73180694,-0.041671647,-0.080553241
"AFG","Afghanistan","OTH",2028,51.91385585,51.95763275,-0.043776906,-0.084255004
"AFG","Afghanistan","OTH",2029,52.17021445,52.22079597,-0.05058152,-0.096860875
"AFG","Afghanistan","OTH",2030,52.46036583,52.51696897,-0.056603131,-0.107780651
"AFG","Afghanistan","PK",2017,0.09,0.09,0,0
"AFG","Afghanistan","PK",2018,0.088741489,0.088741489,0,0
"AFG","Afghanistan","PK",2019,0.08455907,0.08455907,0,0
"AFG","Afghanistan","PK",2020,0.085716486,0.085797566,-8.11e-05,-0.094501475
"AFG","Afghanistan","PK",2021,0.086041011,0.086319809,-0.000278799,-0.322983525
"AFG","Afghanistan","PK",2022,0.08631558,0.086740289,-0.000424709,-0.489632651
"AFG","Afghanistan","PK",2023,0.086693419,0.087303973,-0.000610554,-0.699342564
"AFG","Afghanistan","PK",2024,0.087021262,0.087775644,-0.000754382,-0.859442875
"AFG","Afghanistan","PK",2025,0.087389741,0.088324716,-0.000934975,-1.058565531
"AFG","Afghanistan","PK",2026,0.08766963,0.088763596,-0.001093966,-1.232448685
"AFG","Afghanistan","PK",2027,0.087951631,0.089246291,-0.00129466,-1.450660052
"AFG","Afghanistan","PK",2028,0.088229755,0.089691937,-0.001462182,-1.630226907
"AFG","Afghanistan","PK",2029,0.088537701,0.090142316,-0.001604615,-1.780090477
"AFG","Afghanistan","PK",2030,0.088748458,0.090545505,-0.001797047,-1.984689006
"AFG","Afghanistan","PS",2017,2.78,2.78,0,0
"AFG","Afghanistan","PS",2018,2.804827936,2.804827936,0,0
"AFG","Afghanistan","PS",2019,2.831854778,2.831854778,0,0
"AFG","Afghanistan","PS",2020,2.845717735,2.846269582,-0.000551847,-0.019388442
"AFG","Afghanistan","PS",2021,2.851445844,2.853220377,-0.001774533,-0.062194045
"AFG","Afghanistan","PS",2022,2.85094717,2.852995931,-0.002048761,-0.071810851
"AFG","Afghanistan","PS",2023,2.855777147,2.857994745,-0.002217598,-0.077592788
"AFG","Afghanistan","PS",2024,2.857115648,2.859722953,-0.002607306,-0.09117336
"AFG","Afghanistan","PS",2025,2.8604292,2.863365037,-0.002935837,-0.102531024
"AFG","Afghanistan","PS",2026,2.864789406,2.868796657,-0.004007251,-0.139684052
"AFG","Afghanistan","PS",2027,2.868874889,2.873297473,-0.004422585,-0.153920183
"AFG","Afghanistan","PS",2028,2.873528729,2.87833126,-0.004802532,-0.166851256
"AFG","Afghanistan","PS",2029,2.878067134,2.883662238,-0.005595104,-0.194027731
